Date,Price,Open,Low,High,Volume,Change
2017-07-27,106.1,106.04,106.3,106.04,10.9,0.08
2017-07-26,106.02,106.0,106.02,106.0,0.2,0.02
2017-07-24,106.0,108.2,108.2,106.0,0.44,0.0
2017-07-21,106.0,108.4,108.4,106.0,0.22,-0.05
2017-07-20,106.05,107.8,107.8,106.02,1.08,-2.17
2017-07-19,108.4,108.7,109.0,107.0,0.21,-0.55
2017-07-18,109.0,110.0,110.0,109.0,0.45,-0.91
2017-07-17,110.0,110.0,110.0,110.0,0.09,0.0
2017-07-14,110.0,110.0,110.99,110.0,1.89,0.92
2017-07-13,109.0,110.0,110.0,109.0,0.95,-0.92
2017-07-12,110.01,111.0,111.01,109.13,1.66,-1.69
2017-07-11,111.9,111.9,111.9,110.0,0.56,0.0
2017-07-10,111.9,112.0,112.0,111.9,0.45,-0.53
2017-07-07,112.5,112.0,113.0,111.99,1.41,0.45
2017-07-06,112.0,112.0,113.4,112.0,0.45,0.0
2017-07-05,112.0,109.0,112.27,109.0,3.88,2.75
2017-07-04,109.0,106.01,109.0,106.01,0.64,2.83
2017-07-03,106.0,104.1,106.0,104.1,0.25,1.83
2017-06-30,104.1,103.3,106.0,103.3,0.71,1.07
2017-06-29,103.0,102.7,103.0,101.5,11.13,0.99
2017-06-28,101.99,102.5,102.5,101.8,0.49,0.47
2017-06-23,101.51,102.6,102.6,101.51,0.62,-0.97
2017-06-22,102.5,100.6,102.5,100.6,2.16,1.89
2017-06-21,100.6,103.0,103.0,100.6,2.07,-1.85
2017-06-20,102.5,103.0,103.0,102.0,0.73,-0.49
2017-06-19,103.0,102.0,103.0,102.0,1.94,2.18
2017-06-16,100.8,101.1,102.0,100.8,0.71,-1.18
2017-06-15,102.0,100.9,103.92,100.9,0.41,2.0
2017-06-14,100.0,100.01,101.0,100.0,2.15,0.0
2017-06-13,100.0,100.0,100.0,100.0,0.56,2.71
2017-06-12,97.36,97.01,97.63,97.01,2.56,1.42
2017-06-09,96.0,96.77,96.96,96.0,1.78,-0.6
2017-06-08,96.58,95.99,96.58,95.99,4.42,0.61
2017-06-07,95.99,94.56,96.95,94.56,3.62,1.0
2017-06-06,95.04,94.75,95.52,94.56,0.92,0.31
2017-06-05,94.75,94.56,94.75,94.56,0.04,0.2
2017-06-02,94.56,92.54,95.04,92.26,2.2,2.39
2017-06-01,92.35,92.16,92.45,92.16,0.68,0.21
2017-05-31,92.16,91.3,92.16,91.3,0.2,0.0
2017-05-30,92.16,91.2,92.16,91.2,0.05,-4.0
2017-05-29,96.0,95.0,96.0,95.0,0.33,0.0
2017-05-26,96.0,95.5,96.0,95.5,3.26,1.59
2017-05-25,94.5,95.0,95.0,94.5,0.2,0.0
2017-05-24,94.5,95.0,95.0,94.5,0.75,-0.53
2017-05-23,95.0,94.55,95.0,94.55,0.32,0.53
2017-05-22,94.5,94.5,95.0,94.5,1.02,0.0
2017-05-19,94.5,95.4,95.4,94.02,0.32,-0.53
2017-05-18,95.0,95.0,95.0,95.0,0.32,1.05
2017-05-17,94.01,94.0,94.5,94.0,0.39,0.0
2017-05-16,94.01,94.9,94.9,94.0,0.5,-0.94
2017-05-15,94.9,95.0,95.5,94.9,0.54,-1.15
2017-05-12,96.0,96.0,96.0,96.0,0.17,0.3
2017-05-11,95.71,95.7,97.0,95.7,2.62,2.69
2017-05-10,93.2,95.7,95.73,92.9,28.66,-2.51
2017-05-09,95.6,95.5,95.6,95.5,0.29,-0.03
2017-05-08,95.63,95.5,98.0,95.5,1.43,0.66
2017-05-05,95.0,94.62,96.01,94.62,1.32,0.53
2017-05-04,94.5,95.99,95.99,94.5,0.2,0.52
2017-05-03,94.01,94.0,96.0,94.0,0.88,0.0
2017-05-02,94.01,95.0,95.0,94.01,0.23,0.92
2017-04-28,93.15,93.15,95.49,93.15,0.31,0.05
2017-04-27,93.1,93.01,94.5,93.01,2.08,0.1
2017-04-26,93.01,92.52,93.99,92.52,0.23,0.53
2017-04-25,92.52,92.52,92.52,92.52,0.17,-0.01
2017-04-24,92.53,92.55,95.32,92.5,0.28,-0.08
